long,lat,fips
1457554.0374642,-1363290.99600101,13037
1745800.41611279,-1373768.12722111,13039
1677747.47110298,-1221283.53128416,13043
1380335.20930819,-1146186.60864187,13045
1352122.59981788,-1002575.20694558,13047
1704399.87272199,-1399227.25670906,13049
1773725.50206593,-1245836.87799252,13051
1428573.37199384,-1277096.81558627,13053
1340830.66430409,-1052729.32119591,13055
1423613.38274748,-1063513.87373836,13057
1528846.3065039,-1075990.26467978,13059
1423284.54665361,-1359266.89574504,13061
1447115.85862351,-1138467.97949782,13063
1648935.6845975,-1396020.17728417,13065
1419843.80042501,-1098281.89466119,13067
1622666.24307114,-1329523.60089895,13069
1544104.23179872,-1385841.64458909,13071
1637340.23346823,-1100021.38114418,13073
1576313.54162052,-1382694.17655894,13075
1413441.97293201,-1165950.96568388,13077
1496587.02394588,-1222658.06361293,13079
1530717.47963155,-1305465.19013451,13081
1319866.17641601,-1013208.64883654,13083
1447478.10260333,-1036573.23957003,13085
1473522.21523325,-1433803.72241709,13087
1454990.40077268,-1111269.82771696,13089
1581545.28834162,-1267246.38309454,13091
1523716.43716901,-1280449.29002413,13093
1495870.94590633,-1356043.89703824,13095
1406449.6399391,-1127776.80488849,13097
1435322.22354295,-1390954.79584393,13099
1634698.82641619,-1421853.5193195,13101
1745923.98866326,-1210450.36489261,13103
1573765.10348979,-1048871.71933744,13105
1653191.9133764,-1204935.19844481,13107
1700322.94882831,-1244683.69348395,13109
1426402.82389574,-992829.803746399,13111
1437107.37501252,-1154818.47653699,13113
1356166.37987017,-1073642.67525033,13115
1455687.76472278,-1059493.75498343,13117
1533217.68218928,-1027389.63787525,13119
1432757.53532428,-1112894.73768356,13121
1416886.54365205,-1013978.58922904,13123
1611995.26911874,-1141318.64865348,13125
1751530.28146309,-1338075.51685296,13127
1382910.74768663,-1041502.06199829,13129
1505848.79901335,-1428439.77374341,13131
1554308.36774055,-1113668.72721222,13133
1469842.7648681,-1086844.88752537,13135
1501280.21449435,-1004517.96115736,13137
1481337.41277597,-1043697.74075143,13139
1576070.24314716,-1143804.76393425,13141
1364750.11754213,-1124741.24441307,13143
1410936.16178761,-1235897.70557647,13145
1557712.64856455,-1025697.22391992,13147
1380749.88430959,-1178190.96450029,13149
1467690.59128791,-1144595.6665078,13151
1530044.43174907,-1245140.75301169,13153
1582537.27633025,-1331574.34596527,13155
1507498.09868426,-1059421.87507222,13157
1512214.32289201,-1151641.9449403,13159
1637938.40315165,-1297498.9400187,13161
1633374.04750105,-1156169.85072414,13163
1680433.20612045,-1176350.6144461,13165
1618037.90000443,-1199816.02579153,13167
1529418.92473285,-1181115.7418302,13169
1475044.22015926,-1185574.14487883,13171
1612768.1664966,-1389289.25513149,13173
1598772.29460735,-1230862.69545212,13175
1498405.27505623,-1327820.22489432,13177
1743513.27333315,-1272443.08611422,13179
1615397.68581873,-1076646.89772053,13181
1721249.26786435,-1285705.88897284,13183
1597227.7196934,-1415279.50772069,13185
1459916.27939154,-1019438.18956508,13187
1618846.92567347,-1111539.94535281,13189
1758743.97148496,-1306479.15303951,13191
1497477.17025389,-1263363.25737565,13193
1539809.26557791,-1053968.05084706,13195
1452656.53000107,-1272164.07720111,13197
1425589.94520081,-1198914.65962326,13199
1454032.70563121,-1405134.43455259,13201
1503492.13861766,-1389400.02941106,13205
1496545.77940395,-1188726.10098833,13207
1640152.82041307,-1255344.04523023,13209
1524925.64324248,-1117788.49719229,13211
1388899.36994189,-1008334.7881323,13213
1418000.58475439,-1260300.90733372,13215
1493396.93315678,-1128164.21781601,13217
1525173.7528821,-1089965.91607042,13219
1556423.06216073,-1079027.11472405,13221
1393684.90648405,-1105628.42749462,13223
1513170.75036732,-1235814.18662891,13225
1420500.408462,-1038998.31938018,13227
1685858.67378678,-1337887.90099739,13229
1452281.53509782,-1188182.6607651,13231
1363304.78589028,-1101690.9091127,13233
1552100.94927564,-1266222.45369225,13235
1540672.50982681,-1145444.18238312,13237
1415352.65242706,-1333090.09720597,13239
1507838.20314349,-974784.34976831,13241
1441370.37438165,-1339813.83202087,13243
1658740.70522521,-1116756.58216684,13245
1475526.05291931,-1120706.76541192,13247
1474018.10083829,-1277556.81175667,13249
1713559.32993597,-1173980.74793504,13251
1445062.47090045,-1432749.63606015,13253
1459091.17963373,-1167707.05935478,13255
1524139.15596855,-1009221.76818408,13257
1429025.72419019,-1306698.22534807,13259
1488702.46383944,-1300624.92706545,13261
1445950.37295605,-1234128.83504066,13263
1580875.4258203,-1109559.04100332,13265
1686943.12769823,-1259547.1788802,13267
1474505.56088681,-1244455.83477308,13269
1607930.96006649,-1289571.26289115,13271
1470756.27722473,-1333436.55026755,13273
1535768.44790103,-1424010.85196272,13275
1562039.88482058,-1351968.35657111,13277
1660161.14495544,-1256982.23682522,13279
1477032.2607101,-977504.776324089,13281
1632441.61606633,-1230608.37089601,13283
1394521.00791895,-1205432.09207729,13285
1548221.29433426,-1325437.6791831,13287
1547928.57614353,-1217163.4654912,13289
1456372.54124833,-991014.432042138,13291
1464181.09867265,-1210112.61584391,13293
1340255.01516604,-1023303.78668856,13295
1499160.46402794,-1101574.74092779,13297
1672646.08567558,-1375256.9812245,13299
1602434.04502356,-1122577.88110976,13301
1600715.68607887,-1173346.96592026,13303
1709622.33413529,-1310938.20040539,13305
1456177.46081473,-1306200.95854682,13307
1623588.54347524,-1264658.60377625,13309
1481455.97906697,-1006956.29524102,13311
1369560.29899544,-1009486.68370811,13313
1560740.49567328,-1293734.06398069,13315
1589099.64093334,-1083184.57509315,13317
1569303.40503139,-1198343.62905336,13319
1529771.8715262,-1347588.10697543,13321
-187341.57321625,-2256478.98826993,15001
-469910.934069134,-2027044.03496408,15003
-361916.282031821,-2068234.66001023,15005
-635871.426881166,-1941008.76119324,15007
-291971.010085814,-2116830.88570105,15009
-1300322.75986545,-41785.7110480017,16001
-1285014.26217602,119387.511288918,16003
-994877.826792876,-184552.607407689,16005
-928543.124991147,-237800.353551172,16007
-1247033.16481971,376922.168773007,16009
-999954.928671986,-122034.817017205,16011
-1121823.33970032,-80458.5191639866,16013
-1248823.86857258,8970.34101555807,16015
-1217360.46031152,494242.973309075,16017
-934747.071164606,-112517.99956366,16019
-1196411.68706957,543183.76135488,16021
-1052892.81468009,-56252.6193946249,16023
-1186823.69692142,-62217.9193765087,16025
-1333391.75944986,-15867.6852827218,16027
-939815.080995207,-181156.22097134,16029
-1112842.87527681,-209291.855993347,16031
-978474.682711448,-4851.64483259752,16033
-1185680.24730998,302440.196961066,16035
-1130538.77599074,15524.9402552273,16037
-1241707.31466895,-65112.4535241629,16039
-969609.813697437,-243106.901987092,16041
-911063.649210607,-21340.5284846479,16043
-1299238.08235346,27790.3701378892,16045
-1197013.46429743,-116777.793775354,16047
-1188754.84281822,208726.474519007,16049
-983218.731840435,-56466.9236611163,16051
-1158825.49410625,-155451.773091951,16053
-1239500.64758542,427308.490197132,16055
-1260319.74711808,333826.470463994,16057
-1089399.81319537,87712.6303193339,16059
-1253160.73360038,265772.989428867,16061
-1142552.23066627,-122923.255935889,16063
-931640.203462043,-68623.2604305211,16065
-1105319.4858656,-145959.510624215,16067
-1274665.05596868,280896.552180048,16069
-1028413.35989793,-232940.858675173,16071
-1313233.13768316,-138641.092739998,16073
-1329049.12768057,27289.762871953,16075
-1044166.60355235,-174357.153378703,16077
-1187437.53817697,379967.0518202,16079
-896537.344077322,-76817.1210253988,16081
-1197621.85541194,-186462.352009781,16083
-1219621.63213178,91896.6324261106,16085
-1320413.55785971,76533.8727276739,16087
749712.582583052,-517149.382287702,17001
944427.838860279,-808588.578078858,17003
912639.580924936,-621192.509219965,17005
915555.066838834,-234984.442063337,17007
787027.492293669,-515980.317275364,17009
870870.93675449,-344257.428641942,17011
803871.871664591,-602960.372951739,17013
828578.072233741,-275010.059272562,17015
829515.573590086,-510175.010525101,17017
999718.27391558,-468851.170033433,17019
917233.931509403,-546842.072613202,17021
1046961.43870331,-552505.216452134,17023
995702.050945621,-625163.744383016,17025
917352.332546722,-652125.065506021,17027
1007086.40695644,-537475.168204303,17029
1005105.05789242,-276416.201959612,17031
1054425.35031778,-588654.131461002,17033
1009343.48313745,-564721.719207,17035
926298.297490718,-281867.262997852,17037
939583.273159249,-473185.491506199,17039
1003798.49240774,-510030.042337427,17041
982834.318867137,-278577.239121048,17043
1044920.89151052,-513789.549117551,17045
1037847.90046903,-657437.092556074,17047
982681.168458969,-592652.449184904,17049
946317.932637587,-604187.18786957,17051
990840.398514727,-418626.99683224,17053
968766.428991772,-714390.861797373,17055
826455.136426466,-454206.907500006,17057
1032501.9937031,-731166.697163366,17059
825022.166642541,-579154.039129172,17061
964187.893970335,-344925.732247933,17063
1001071.07619889,-699934.194495851,17065
747075.907304512,-470885.430718725,17067
1032663.17425028,-758793.670242358,17069
762252.62881754,-422815.511298585,17071
821543.949171334,-356070.031249715,17073
1021741.65154712,-397163.126919588,17075
931810.334010752,-742335.844842395,17077
1020591.20645908,-592785.719133858,17079
